iter	Passed	Remaining
278	120778	95670
279	121259	95274
280	121563	94741
281	122020	94328
282	122583	93995
283	123047	93585
284	123471	93145
285	123897	92706
286	124256	92218
287	124657	91761
288	125018	91276
289	125306	90739
290	125624	90225
291	126069	89803
292	126555	89409
293	126924	88933
294	127359	88504
295	127726	88027
296	128178	87610
297	128545	87135
298	128990	86712
299	129367	86244
300	129718	85760
301	130342	85456
302	130803	85043
303	131288	84646
304	131699	84201
305	132001	83686
306	132529	83316
307	132897	82845
308	133380	82445
309	133727	81961
310	134116	81504
311	134570	81087
312	135040	80679
313	135439	80228
314	135855	79788
315	136278	79352
316	136738	78937
317	137153	78496
318	137538	78038
319	137971	77609
320	138425	77190
321	138827	76743
322	139279	76323
323	139618	75842
324	140042	75407
325	140422	74949
326	140916	74551
327	141401	74149
328	141773	73687
329	142092	73199
330	142486	72749
331	142824	72272
332	143335	71882
333	143763	71451
334	144224	71035
335	144582	70570
336	144947	70107
337	145418	69697
338	145826	69256
339	146303	68848
340	146774	68437
341	147239	68023
342	147685	67599
343	148147	67183
344	148474	66705
345	148903	66274
346	149289	65825
347	149814	65436
348	150202	64987
349	150737	64601
350	151276	64217
351	151933	63881
352	152950	63693
353	153372	63255
354	153498	62696
355	154137	62347
356	154873	62036
357	155378	61630
358	155790	61188
359	156467	60848
360	156878	60404
361	157332	59977
362	157823	59564
363	158276	59136
364	158790	58730
365	159423	58368
366	159792	57908
367	160371	57524
368	160554	56998
369	160964	56555
370	161372	56110
371	161725	55647
372	162188	55222
373	162528	54755
374	163031	54343
375	163430	53897
376	163860	53461
377	164612	53129
378	165197	52741
379	165740	52339
380	166272	51932
381	166406	51402
382	166832	50964
383	167441	50581
384	167890	50149
385	168481	49758
386	169105	49377
387	169854	49030
388	170383	48618
389	170832	48183
390	171388	47778
391	171825	47339
392	172315	46915
393	172929	46524
394	173463	46110
395	173915	45674
396	174288	45218
397	174857	44812
398	175431	44407
399	175833	43958
400	176266	43517
401	176663	43067
402	177119	42631
403	177533	42186
404	177561	41650
405	177941	41198
406	178315	40745
407	178682	40291
408	179091	39846
409	179486	39399
410	179819	38939
411	180286	38507
412	180666	38057
413	181138	37627
414	181539	37182
415	182000	36750
416	182348	36294
417	182838	35867
418	183393	35453
419	183727	34995
420	184073	34541
421	184466	34095
422	184786	33637
423	185175	33191
424	185675	32766
425	186103	32327
426	186616	31903
427	187053	31466
428	187492	31030
429	187992	30603
430	188384	30158
431	188799	29718
432	189115	29262
433	189613	28835
434	190090	28404
435	190609	27979
436	191054	27543
437	191421	27096
438	191930	26669
439	192174	26205
440	192733	25785
441	193273	25361
442	193859	24943
443	194247	24499
444	194702	24064
445	195141	23626
446	195546	23185
447	195935	22742
448	196343	22301
449	196730	21858
450	197144	21419
451	197671	20991
452	198184	20562
453	198701	20132
454	199161	19697
455	199642	19263
456	200146	18832
457	200645	18399
458	201016	17955
459	201477	17519
460	201858	17076
461	202278	16637
462	202711	16199
463	203103	15758
464	203590	15324
465	204101	14891
466	204558	14454
467	205029	14019
468	205466	13580
469	205884	13141
470	206287	12701
471	206678	12260
472	207110	11822
473	207536	11383
474	208032	10949
475	208493	10512
476	208889	10072
477	209365	9636
478	209881	9201
479	210460	8769
480	210842	8328
481	211225	7888
482	211703	7451
483	212116	7012
484	212673	6577
485	213185	6141
486	213691	5704
487	214102	5264
488	214593	4827
489	215063	4389
490	215503	3950
491	216063	3513
492	216497	3073
493	217037	2636
494	217635	2198
495	218222	1759
496	218762	1320
497	219388	881
498	219886	440
499	220372	0
